LocationDesc,Class,Data_Value,Age(years),GeoLocation,LocationID
Alabama,Obesity / Weight Status,16.3,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,35.2,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,35.5,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,38,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,36.4,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,27.1,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,27.1,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,31.9,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,33.3,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,35.8,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,38.9,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Obesity / Weight Status,39,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,35.4,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,41.8,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,43.1,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,45,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,47.6,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,50.1,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,31.4,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,25.6,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,23.8,35 - 44,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,23.7,45 - 54,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,21.6,55 - 64,"(32.84057112200048, -86.63186076199969)",1
Alabama,Fruits and Vegetables,21.6,65 or older,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,49.4,18 - 24,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,41.9,25 - 34,"(32.84057112200048, -86.63186076199969)",1
Alabama,Physical Activity,41.8,35 - 44,"(32.84057112200048, -86.63186076199969)",1
